,Count,Answer,Problem,Option,Rationale,Options,Correct Answer,Annotated Formula,Linear Formula,Category,extracted_answer
0,1,d,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 31.1 % . what would have been the percentage of profit earned if no discount had been offered ?,"a ) 38 , b ) 27.675 , c ) 30 , d ) data inadequate , e ) none of these","""giving no discount to customer implies selling the product on printed price . suppose the cost price of the article is 100 . then printed price = 100 ã — ( 100 + 31.1 ) / ( 100 â ˆ ’ 5 ) = 138 hence , required % profit = 138 â € “ 100 = 38 % answer a""","a ) 38 , b ) 27.675 , c ) 30 , d ) data inadequate , e ) none of these",a,"subtract(divide(multiply(add(const_100, 31.1), const_100), subtract(const_100, 5)), const_100)","add(n1,const_100)|subtract(const_100,n0)|multiply(#0,const_100)|divide(#2,#1)|subtract(#3,const_100)|",gain,d
1,2,a,what will be the difference between simple and compound interest at 14 % per annum on a sum of rs . 1000 after 4 years ?,"a ) 129 , b ) 130 , c ) 124 , d ) 133 , e ) 145","""s . i . = ( 1000 * 14 * 4 ) / 100 = rs . 560 c . i . = [ 1000 * ( 1 + 14 / 100 ) 4 - 1000 ] = rs . 689 difference = ( 689 - 560 ) = rs . 129 answer : a""","a ) 129 , b ) 130 , c ) 124 , d ) 133 , e ) 145",a,"subtract(subtract(multiply(1000, power(add(divide(14, const_100), const_1), 4)), 1000), multiply(multiply(1000, divide(14, const_100)), 4))","divide(n0,const_100)|add(#0,const_1)|multiply(n1,#0)|multiply(n2,#2)|power(#1,n2)|multiply(n1,#4)|subtract(#5,n1)|subtract(#6,#3)|",gain,a
2,3,a,"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?","a ) 156 , b ) 167 , c ) 870 , d ) 352 , e ) 380","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c""","a ) 156 , b ) 167 , c ) 870 , d ) 352 , e ) 380",c,"multiply(add(28, const_1), add(add(28, const_1), const_1))","add(n0,const_1)|add(#0,const_1)|multiply(#0,#1)|",physics,a
3,4,c) 3500.,the present population of a town is 3888 . population increase rate is 20 % p . a . find the population of town before 2 years ?,"a ) 2500 , b ) 2100 , c ) 3500 , d ) 3600 , e ) 2700","""p = 3888 r = 20 % required population of town = p / ( 1 + r / 100 ) ^ t = 3888 / ( 1 + 20 / 100 ) ^ 2 = 3888 / ( 6 / 5 ) ^ 2 = 2700 ( approximately ) answer is e""","a ) 2500 , b ) 2100 , c ) 3500 , d ) 3600 , e ) 2700",e,"add(3888, divide(multiply(3888, 20), const_100))","multiply(n0,n1)|divide(#0,const_100)|add(n0,#1)|",gain,c
4,5,d) 1:2,the triplicate ratio of 1 : 9 is ?,"a ) 1 : 0 , b ) 1 : 8 , c ) 1 : 7 , d ) 1 : 2 , e ) 1 : 729","""13 : 93 = 1 : 729 answer : e""","a ) 1 : 0 , b ) 1 : 8 , c ) 1 : 7 , d ) 1 : 2 , e ) 1 : 729",e,"divide(power(const_2.0, 9), power(const_3.0, 9))","power(const_2.0,n1)|power(const_3.0,n1)|divide(#0,#1)|",other,d
5,6,-51,the sum of all the integers s such that - 26 < s < 24 is,"a ) 0 , b ) - 2 , c ) - 25 , d ) - 49 , e ) - 51","""easy one - - 25 , - 24 , - 23 , - 22 , . . . . . . - 1,0 , 1 , 2 . . . . , 22 , 23 cancel everyhitng and we ' re left with - - 25 and - 24 s = - 49 . d is the answer .""","a ) 0 , b ) - 2 , c ) - 25 , d ) - 49 , e ) - 51",d,"add(add(negate(26), const_1), add(add(negate(26), const_1), const_1))","negate(n0)|add(#0,const_1)|add(#1,const_1)|add(#1,#2)|",general,none
6,7,e) 3.6,"a full stationary oil tank that is a right circular cylinder has a radius of 100 feet and a height of 25 feet . oil is pumped from the stationary tank to an oil truck that has a tank that is a right circular cylinder until the truck ' s tank is completely filled . if the truck ' s tank has a radius of 6 feet and a height of 10 feet , how far ( in feet ) did the oil level drop in the stationary tank ?","a ) 0.036 , b ) 0.36 , c ) 0.6 , d ) 6 , e ) 3.6","""the volume of oil pumped to the tank = the volume of oil taken away from stationary cylinder . pi * 36 * 10 = pi * h * 100 * 100 ( h is distance that the oil level dropped ) h = 360 / 10,000 = 36 / 1000 = 0.036 ft the answer is a .""","a ) 0.036 , b ) 0.36 , c ) 0.6 , d ) 6 , e ) 3.6",a,"divide(volume_cylinder(6, 10), circle_area(100))","circle_area(n0)|volume_cylinder(n2,n3)|divide(#1,#0)|",geometry,e
7,8,c,"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 35 - ounce cans or 25 - ounce cans of chili paste . if the restaurant must order 20 more of the smaller cans than the larger cans to fulfill its weekly needs , then how manysmallercans are required to fulfill its weekly needs ?","a ) 60 , b ) 70 , c ) 80 , d ) 100 , e ) 120","""let x be the number of 35 ounce cans . therefore ( x + 20 ) is the number of 25 ounce cans . total volume is same , therefore 35 x = 25 ( x + 20 ) 10 x = 500 x = 50 therefore , number of 15 ounce cans = 50 + 20 = 70 ans - b""","a ) 60 , b ) 70 , c ) 80 , d ) 100 , e ) 120",b,"add(25, 20)","add(n1,n2)|",general,c
8,9,d,"if n is an integer and 101 n ^ 2 is less than or equal to 10000 , what is the greatest possible value of n ?","a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11","""101 * n ^ 2 < = 10000 n ^ 2 < = 10000 / 101 which will be less than 100 since 10000 / 100 = 100 which is the square of 9 next closest value of n where n ^ 2 < = 100 is 9 ans c""","a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",c,"floor(sqrt(divide(10000, 101)))","divide(n2,n0)|sqrt(#0)|floor(#1)|",general,d
9,10,"The correct answer is d, 8.","a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?","a ) 10 , b ) 4 , c ) 5 , d ) 8 , e ) 6","""explanation : use formula for a work members ã — days = constant 10 ã — 4 = 5 ã — a a = 8 so answer is 8 days answer : d""","a ) 10 , b ) 4 , c ) 5 , d ) 8 , e ) 6",d,"divide(const_1, multiply(divide(const_1, multiply(const_4.0, 10)), 4))","multiply(n0,n1)|divide(const_1,#0)|multiply(n2,#1)|divide(const_1,#2)|",physics,none
